NFHS_District,lower_name,GeoJSON_District,_merge
,nicobar islands,Nicobar Islands,right_only
Nicobars,nicobars,,left_only
,nilgiris,Nilgiris,right_only
Nirmal ,nirmal,,left_only
Nizamabad ,nizamabad,Nizamabad,both
North ,north,,left_only
North  District ,north  district,,left_only
North & Middle Andaman ,north & middle andaman,,left_only
,north 24 parganas,North 24 Parganas,right_only
,north cachar hills,North Cachar Hills,right_only
North East ,north east,,left_only
North Garo Hills ,north garo hills,,left_only
North Goa ,north goa,North Goa,both
,north sikkim,North Sikkim,right_only
North Tripura ,north tripura,North Tripura,both
North Twenty Four Pargana ,north twenty four pargana,,left_only
North West ,north west,,left_only
Nuapada ,nuapada,Nuapada,both
Osmanabad ,osmanabad,Osmanabad,both
Pakur ,pakur,Pakur,both
Palakkad ,palakkad,Palakkad,both
Palamu ,palamu,Palamu,both
Palghar ,palghar,,left_only
Pali ,pali,Pali,both
Palwal ,palwal,,left_only
Panch Mahals ,panch mahals,Panch Mahals,both
Panchkula ,panchkula,Panchkula,both
Panipat ,panipat,Panipat,both
Panna ,panna,Panna,both
Papum Pare ,papum pare,Papum Pare,both
Parbhani ,parbhani,Parbhani,both
Paschim Barddhaman ,paschim barddhaman,,left_only
Paschim Medinipur ,paschim medinipur,,left_only
Pashchim Champaran ,pashchim champaran,Pashchim Champaran,both
,pashchim singhbhum,Pashchim Singhbhum,right_only
Pashchimi Singhbhum ,pashchimi singhbhum,,left_only
Patan ,patan,Patan,both
Pathanamthitta ,pathanamthitta,,left_only
Pathankot ,pathankot,,left_only
Patiala ,patiala,Patiala,both
Patna ,patna,Patna,both
,pattanamtitta,Pattanamtitta,right_only
,pauri garhwal,Pauri Garhwal,right_only
Peddapalli ,peddapalli,,left_only
Perambalur ,perambalur,Perambalur,both
Peren ,peren,,left_only
Phek ,phek,Phek,both
Pilibhit ,pilibhit,Pilibhit,both
Pithoragarh ,pithoragarh,Pithoragarh,both
Porbandar ,porbandar,Porbandar,both
Prakasam ,prakasam,Prakasam,both
Pratapgarh ,pratapgarh,Pratapgarh,both
Puducherry ,puducherry,Puducherry,both
Pudukkottai ,pudukkottai,Pudukkottai,both
Pulwama ,pulwama,Pulwama,both
Punch ,punch,Punch,both
Pune ,pune,Pune,both
Purba Champaran ,purba champaran,Purba Champaran,both
Purba Medinipur ,purba medinipur,,left_only
,purba singhbhum,Purba Singhbhum,right_only
Purbi Singhbhum ,purbi singhbhum,,left_only
Puri ,puri,Puri,both
Purnia ,purnia,Purnia,both
Puruliya ,puruliya,Puruliya,both
Rae Bareli ,rae bareli,Rae Bareli,both
Raichur ,raichur,Raichur,both
Raigarh ,raigarh,Raigarh,both
Raipur ,raipur,Raipur,both
Raisen ,raisen,Raisen,both
,raj nandgaon,Raj Nandgaon,right_only
Rajanna Sircilla ,rajanna sircilla,,left_only
,rajauri,Rajauri,right_only
Rajgarh ,rajgarh,Rajgarh,both
Rajkot ,rajkot,Rajkot,both
Rajnandgaon ,rajnandgaon,,left_only
Rajouri ,rajouri,,left_only
Rajsamand ,rajsamand,Rajsamand,both
Ramanagara ,ramanagara,,left_only
Ramanathapuram ,ramanathapuram,Ramanathapuram,both
Ramban ,ramban,,left_only
Ramgarh ,ramgarh,,left_only
Rampur ,rampur,Rampur,both
Ranchi ,ranchi,Ranchi,both
Ranga Reddy ,ranga reddy,,left_only
,rangareddi,Rangareddi,right_only
Ratlam ,ratlam,Ratlam,both
Ratnagiri ,ratnagiri,Ratnagiri,both
Rayagada ,rayagada,Rayagada,both
Reasi ,reasi,,left_only
Rewa ,rewa,Rewa,both
Rewari ,rewari,Rewari,both
,ri-bhoi,Ri-Bhoi,right_only
Ribhoi ,ribhoi,,left_only
Rohtak ,rohtak,Rohtak,both
Rohtas ,rohtas,Rohtas,both
,rudra prayag,Rudra Prayag,right_only
Rudraprayag ,rudraprayag,,left_only
Rupnagar ,rupnagar,Rupnagar,both
Sabar Kantha ,sabar kantha,Sabar Kantha,both
Sagar ,sagar,Sagar,both
Saharanpur ,saharanpur,Saharanpur,both
Saharsa ,saharsa,Saharsa,both
Sahibganj ,sahibganj,Sahibganj,both
Sahibzada Ajit Singh Nagar ,sahibzada ajit singh nagar,,left_only
,saiha,Saiha,right_only
Salem ,salem,Salem,both
Samastipur ,samastipur,Samastipur,both
Samba ,samba,,left_only
Sambalpur ,sambalpur,Sambalpur,both
Sambhal ,sambhal,,left_only
Sangareddy ,sangareddy,,left_only
Sangli ,sangli,Sangli,both
Sangrur ,sangrur,Sangrur,both
Sant Kabir Nagar ,sant kabir nagar,Sant Kabir Nagar,both
,sant ravi das nagar,Sant Ravi Das Nagar,right_only
Sant Ravidas Nagar (Bhadohi) ,sant ravidas nagar (bhadohi),,left_only
,saraikela kharsawan,Saraikela Kharsawan,right_only
Saraikela-Kharsawan ,saraikela-kharsawan,,left_only
Saran ,saran,Saran,both
Satara ,satara,Satara,both
Satna ,satna,Satna,both
Sawai Madhopur ,sawai madhopur,Sawai Madhopur,both
Sehore ,sehore,Sehore,both
Senapati ,senapati,Senapati,both
Seoni ,seoni,Seoni,both
Sepahijala ,sepahijala,,left_only
Serchhip ,serchhip,Serchhip,both
Shahdara ,shahdara,,left_only
Shahdol ,shahdol,Shahdol,both
Shahid Bhagat Singh Nagar ,shahid bhagat singh nagar,,left_only
Shahjahanpur ,shahjahanpur,Shahjahanpur,both
Shajapur ,shajapur,Shajapur,both
Shamli ,shamli,,left_only
Sheikhpura ,sheikhpura,Sheikhpura,both
Sheohar ,sheohar,Sheohar,both
Sheopur ,sheopur,Sheopur,both
Shimla ,shimla,Shimla,both
Shimoga ,shimoga,Shimoga,both
Shivpuri ,shivpuri,Shivpuri,both
,shravasti,Shravasti,right_only
Shrawasti ,shrawasti,,left_only
Shupiyan ,shupiyan,,left_only
Siang ,siang,,left_only
,sibsagar,Sibsagar,right_only
,siddharth nagar,Siddharth Nagar,right_only
Siddharthnagar ,siddharthnagar,,left_only
Siddipet ,siddipet,,left_only
Sidhi ,sidhi,Sidhi,both
Sikar ,sikar,Sikar,both
Simdega ,simdega,Simdega,both
Sindhudurg ,sindhudurg,Sindhudurg,both
Singrauli ,singrauli,,left_only
Sirmaur ,sirmaur,Sirmaur,both
Sirohi ,sirohi,Sirohi,both
Sirsa ,sirsa,Sirsa,both
Sitamarhi ,sitamarhi,Sitamarhi,both
Sitapur ,sitapur,Sitapur,both
Sivaganga ,sivaganga,Sivaganga,both
Sivasagar ,sivasagar,,left_only
Siwan ,siwan,Siwan,both
Solan ,solan,Solan,both
Solapur ,solapur,Solapur,both
Sonbhadra ,sonbhadra,Sonbhadra,both
,sonepat,Sonepat,right_only
